seed,fedavg_acc,cda_acc,daaw_acc,cda_precision,cda_recall,cda_f1,cda_delay,cda_fp,daaw_precision,daaw_recall,daaw_f1,daaw_delay,daaw_fp
42,0.9761141858432858,0.8070686474414992,0.802990581609865,0.0952,1.0,0.1739,0.0,57,0.6667,1.0,0.8,1.0,2
123,0.9833964462569181,0.7857073502281775,0.7886202543936305,0.058,1.0,0.1096,0.0,65,1.0,1.0,1.0,1.0,0
456,0.975337411399165,0.7410428196912322,0.7413341101077775,0.0816,1.0,0.1509,0.0,45,0.8,1.0,0.8889,1.0,1
789,0.9799009612583746,0.8041557432760462,0.8011457423050782,0.098,1.0,0.1786,0.0,46,1.0,1.0,1.0,1.0,0
999,0.9800951548694048,0.7888144480046606,0.793086707447325,0.1186,1.0,0.2121,0.0,52,1.0,1.0,1.0,1.25,0
