seed,fedavg_acc,cda_acc,daaw_acc,cda_precision,cda_recall,cda_f1,cda_delay,cda_fp,daaw_precision,daaw_recall,daaw_f1,daaw_delay,daaw_fp
42,0.8160547156227502,0.8160547156227502,0.8218142548596112,0.2353,1.0,0.381,0.0,13,1.0,1.0,1.0,1.5,0
123,0.7054375225063018,0.704717320849838,0.7011163125675189,0.25,1.0,0.4,0.0,12,1.0,1.0,1.0,1.75,0
456,0.7922218221101909,0.7915016204537271,0.7871804105149441,0.2353,1.0,0.381,0.0,13,1.0,1.0,1.0,1.5,0
789,0.8038156947444205,0.8038156947444205,0.8063354931605472,0.25,1.0,0.4,0.0,12,1.0,1.0,1.0,1.5,0
999,0.7937365010799136,0.7994960403167747,0.7915766738660908,0.2857,1.0,0.4444,0.0,10,1.0,1.0,1.0,1.75,0
