seed,fedavg_acc,cda_acc,daaw_acc,cda_precision,cda_recall,cda_f1,cda_delay,cda_fp,daaw_precision,daaw_recall,daaw_f1,daaw_delay,daaw_fp
42,0.9851186196980589,0.9853342918763479,0.9854780733285406,0.2353,1.0,0.381,2.5,65,1.0,0.5,0.6667,3.5,0
123,0.9787922358015816,0.9860531991373113,0.9854780733285406,0.1442,1.0,0.2521,8.75,89,1.0,0.75,0.8571,3.33,0
456,0.9862688713156003,0.9884974838245866,0.987275341480949,0.1463,1.0,0.2553,6.0,70,1.0,1.0,1.0,3.75,0
789,0.9873472322070453,0.9818116462976276,0.9796549245147376,0.2258,1.0,0.3684,4.0,48,1.0,0.5,0.6667,3.5,0
999,0.98705966930266,0.9854780733285406,0.9882099209202013,0.2111,1.0,0.3486,0.0,71,1.0,0.75,0.8571,3.67,0
