seed,fedavg_acc,cda_acc,daaw_acc,cda_precision,cda_recall,cda_f1,cda_delay,cda_fp,daaw_precision,daaw_recall,daaw_f1,daaw_delay,daaw_fp
42,0.7994157740993184,0.8023369036027264,0.7950340798442064,0.2222,1.0,0.3636,0.0,14,0.8,1.0,0.8889,1.25,1
123,0.7791828793774319,0.7772373540856031,0.7811284046692607,0.2667,1.0,0.4211,0.0,11,1.0,1.0,1.0,1.0,0
456,0.7377128953771289,0.732360097323601,0.7197080291970803,0.2667,1.0,0.4211,0.0,11,1.0,1.0,1.0,1.25,0
789,0.7980535279805353,0.7878345498783454,0.794647201946472,0.2667,1.0,0.4211,0.0,11,1.0,1.0,1.0,1.0,0
999,0.7854014598540145,0.7839416058394161,0.7854014598540145,0.2222,1.0,0.3636,0.0,14,1.0,1.0,1.0,1.5,0
