seed,fedavg_acc,cda_acc,daaw_acc,cda_precision,cda_recall,cda_f1,cda_delay,cda_fp,daaw_precision,daaw_recall,daaw_f1,daaw_delay,daaw_fp
42,0.9851186196980589,0.8100647016534867,0.8085549964054637,0.0851,1.0,0.1569,0.0,43,1.0,1.0,1.0,1.25,0
123,0.9787922358015816,0.7245866283249461,0.724370956146657,0.0702,1.0,0.1311,0.0,53,1.0,1.0,1.0,1.75,0
456,0.9862688713156003,0.7868439971243709,0.7854061826024443,0.0714,1.0,0.1333,0.0,52,1.0,1.0,1.0,1.25,0
789,0.9873472322070453,0.8168943206326383,0.814881380301941,0.1481,1.0,0.2581,0.0,23,1.0,1.0,1.0,1.5,0
999,0.98705966930266,0.8134435657800144,0.8117181883537024,0.0784,1.0,0.1455,0.0,47,1.0,1.0,1.0,1.5,0
