seed,fedavg_acc,cda_acc,daaw_acc,cda_precision,cda_recall,cda_f1,cda_delay,cda_fp,daaw_precision,daaw_recall,daaw_f1,daaw_delay,daaw_fp
42,0.9781021897810219,0.9781021897810219,0.9724873666479505,0.2222,1.0,0.3636,5.5,14,0.0,0.0,0.0,,1
123,0.9765342960288809,0.9759326113116726,0.9765342960288809,0.2353,1.0,0.381,6.25,13,0.0,0.0,0.0,,0
456,0.96175799086758,0.9628995433789954,0.968607305936073,0.2667,1.0,0.4211,10.0,11,0.0,0.0,0.0,,1
789,0.9770992366412213,0.9823840281855549,0.9770992366412213,0.25,1.0,0.4,6.25,12,0.0,0.0,0.0,,0
999,0.9618413082980012,0.966686856450636,0.9618413082980012,0.2667,1.0,0.4211,2.0,11,0.0,0.0,0.0,,0
