seed,fedavg_acc,cda_acc,daaw_acc,cda_precision,cda_recall,cda_f1,cda_delay,cda_fp,daaw_precision,daaw_recall,daaw_f1,daaw_delay,daaw_fp
42,0.9625449317038102,0.9699496764917326,0.9685118619698059,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,20.1,0
123,0.9670740474478792,0.9695183321351546,0.9735442127965492,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,14.7,0
456,0.974335010783609,0.9670021567217829,0.9601725377426312,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,18.5,0
789,0.9620416966211359,0.9680805176132279,0.9667145938173975,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,20.0,0
999,0.9644140905823149,0.9646297627606039,0.9659956865564342,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,20.1,0
