seed,fedavg_acc,cda_acc,daaw_acc,cda_precision,cda_recall,cda_f1,cda_delay,cda_fp,daaw_precision,daaw_recall,daaw_f1,daaw_delay,daaw_fp
42,0.8688981868898187,0.8688981868898187,0.8702928870292888,1.0,1.0,1.0,8.3,0,1.0,0.2,0.3333,12.0,0
123,0.8433566433566434,0.8475524475524475,0.8363636363636363,1.0,1.0,1.0,6.9,0,1.0,0.2,0.3333,18.5,0
456,0.8853146853146853,0.8671328671328671,0.8839160839160839,1.0,1.0,1.0,9.6,0,1.0,0.2,0.3333,27.0,0
789,0.8200836820083682,0.8214783821478382,0.8200836820083682,1.0,1.0,1.0,7.8,0,0.0,0.0,0.0,,0
999,0.8198324022346368,0.8282122905027933,0.8240223463687151,1.0,1.0,1.0,10.0,0,1.0,0.1,0.1818,7.0,0
