seed,fedavg_acc,cda_acc,daaw_acc,cda_precision,cda_recall,cda_f1,cda_delay,cda_fp,daaw_precision,daaw_recall,daaw_f1,daaw_delay,daaw_fp
42,0.9761141858432858,0.9827167686183125,0.981260316535586,0.2917,1.0,0.4516,11.75,51,0.6,0.75,0.6667,3.67,2
123,0.9833964462569181,0.9879599961161277,0.9899990290319448,0.2727,1.0,0.4286,6.5,64,0.0,0.0,0.0,,0
456,0.975337411399165,0.9824254782017672,0.9836877366734634,0.314,1.0,0.4779,6.5,59,0.6667,0.5,0.5714,4.0,1
789,0.9799009612583746,0.9843674143120691,0.9864064472278862,0.2857,1.0,0.4444,7.5,60,1.0,0.5,0.6667,3.5,0
999,0.9800951548694048,0.9774735411204971,0.977279347509467,0.2826,1.0,0.4407,2.5,66,0.0,0.0,0.0,,0
